Daily Weather Observations for Wollongong, New South Wales for March 2020
Prepared at 13:00 UTC on Tuesday  7 April 2020   IDCJDW2146.202003
Copyright 2003 Commonwealth Bureau of Meteorology
Most observations from Bellambi, which is about 7 km north of the Wollongong city centre.
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}
Pressure observations are from Albion Park (Shellharbour Airport) {station 068241}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-1,20.7,27.6,0,,,NE,44,13:17,23.2,72,,NE,19,1014.1,24.3,76,,NE,33,1010.0
,2020-03-2,20.8,31.6,0,,,S,74,14:11,27.6,36,,NW,22,1008.6,29.0,42,,ENE,9,1009.8
,2020-03-3,17.5,20.1,0,,,SSE,31,23:08,18.9,73,,SSW,20,1019.9,19.0,74,8,S,15,1020.2
,2020-03-4,16.9,22.1,10.6,,,NNE,43,10:34,19.4,94,8, ,Calm,1019.5,21.6,84,8,NNE,22,1017.0
,2020-03-5,19.3,24.3,3.6,,,NNE,50,12:06,21.3,93,8,NNE,26,1011.8,20.4,88,8,NNE,22,1007.7
,2020-03-6,20.2,24.9,12.6,,,S,46,18:21,24.3,74,8,WSW,11,1007.3,20.7,80,8,SSW,30,1010.0
,2020-03-7,17.2,22.3,0,,,S,48,11:43,19.2,77,8,SW,22,1019.8,21.3,68,4,S,33,1020.0
,2020-03-8,15.9,21.3,25.2,,,SSE,41,13:17,16.9,89,7,NW,6,1021.6,20.5,70,7,S,31,1019.5
,2020-03-9,15.5,20.7,0,,,S,44,11:20,18.9,70,6,SSW,22,1022.1,19.2,74,8,SSE,20,1021.3
,2020-03-10,,22.3,0.2,,,,,,17.9,79,,SSW,15,1022.4,21.5,65,,SE,15,1020.8
