Daily Weather Observations for Brisbane, Queensland for March 2020
Prepared at 13:01 UTC on Tuesday  7 April 2020   IDCJDW4019.202003
Copyright 2003 Commonwealth Bureau of Meteorology
Most observations from Brisbane City, but some from Brisbane Airport.
Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only.
Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}
Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-1,21.2,31.3,,,11.6,NE,24,14:09,27.2,59,1,SSE,7,1015.1,30.4,52,1,NE,9,1012.2
,2020-03-2,21.7,33.4,,,11.4,NE,19,18:38,27.2,65,1,SW,4,1014.4,33.0,46,1,NNE,7,1010.9
,2020-03-3,22.4,32.4,,,10.4,ENE,20,14:55,28.1,66,8,ENE,4,1014.8,31.1,52,5,ENE,13,1013.0
,2020-03-4,23.0,29.6,,,7.9,NE,30,16:29,26.1,74,7,SE,7,1015.9,28.9,58,7,ENE,13,1012.7
,2020-03-5,23.0,30.5,,,6.3,NE,26,12:24,27.8,58,6,ENE,9,1013.0,28.6,56,7,NNE,9,1009.6
,2020-03-6,25.6,31.3,,,2.4,NE,22,14:42,28.0,69,7,NW,7,1011.6,30.1,67,4,NE,7,1008.1
,2020-03-7,24.9,32.1,,,6.9,SE,41,16:49,28.5,65,6,SSE,13,1012.8,29.2,60,7,SE,13,1011.4
,2020-03-8,22.7,27.8,,,4.3,ESE,37,13:31,25.0,61,7,SE,6,1016.6,27.5,52,6,ESE,13,1013.4
,2020-03-9,21.0,21.9,,,0.0,SSE,28,16:35,21.2,90,8,SSE,7,1016.0,20.9,90,8,E,6,1013.8
,2020-03-10,18.8,25.8,,,3.8,SE,31,13:36,21.8,86,4,SSE,7,1016.6,21.6,81,8,SE,11,1014.7
,2020-03-11,19.3,27.6,8.4,,10.2,SE,41,13:07,24.2,62,7,SSW,13,1018.4,27.0,47,6,SE,15,1017.3
,2020-03-12,18.8,26.1,0.2,,4.9,SE,39,11:56,25.0,59,2,SSE,9,1019.4,21.1,89,8,SE,9,1017.9
,2020-03-13,17.4,26.5,5.2,,5.1,ESE,39,12:47,23.4,68,3,SSW,7,1016.5,25.3,57,6,E,15,1012.8
,2020-03-14,17.7,28.2,0,,4.2,ESE,26,14:55,24.6,53,3,S,9,1011.1,26.2,51,7,ESE,15,1008.3
,2020-03-15,18.7,28.2,0,,9.2,S,33,15:56,23.9,58,6,S,15,1012.4,27.5,44,3,S,13,1010.8
,2020-03-16,18.4,28.0,0,,9.4,SSE,39,16:04,23.8,49,2,S,9,1018.2,27.5,37,3,SSE,13,1016.8
,2020-03-17,17.6,27.0,0,,9.3,ESE,30,18:03,23.6,54,1,SSW,9,1022.4,26.3,51,4,ESE,9,1020.5
,2020-03-18,17.3,27.7,0,,10.4,E,30,16:47,23.6,50,2,S,7,1024.8,27.2,47,1,ESE,11,1021.3
,2020-03-19,17.3,28.0,0,,9.7,NE,19,16:18,23.8,55,3,SSW,6,1024.2,27.0,51,1,NE,7,1020.5
,2020-03-20,17.8,29.5,0,,11.2,ENE,22,14:19,23.8,64,1,SW,6,1021.6,28.4,49,1,NE,9,1017.3
,2020-03-21,18.6,33.0,0,,11.1,ENE,22,15:53,24.7,65,0,WSW,4,1018.5,31.3,42,1,ENE,11,1015.9
,2020-03-22,21.9,31.6,0,,10.0,N,19,17:27,26.3,63,1,SSE,4,1020.0,30.2,53,1,NE,7,1015.9
,2020-03-23,21.7,28.2,0,,2.1,SSE,33,11:35,25.4,78,7,SE,6,1019.7,27.0,57,7,ESE,13,1018.6
,2020-03-24,21.7,25.3,0,,0.0,ESE,26,14:51,23.0,73,8,ESE,11,1022.6,23.9,67,8,ESE,15,1020.2
,2020-03-25,19.6,27.3,0.2,,5.2,ENE,19,17:23,23.5,72,7,NE,4,1021.6,26.2,52,3,NE,6,1017.9
,2020-03-26,17.7,28.5,0.2,,10.7,ENE,28,14:32,25.2,60,1,W,2,1020.3,26.2,52,2,ESE,13,1018.4
,2020-03-27,19.5,26.2,1.0,,6.4,SSE,30,14:06,24.7,61,6,SSE,7,1021.4,22.6,74,7,SE,11,1020.0
,2020-03-28,18.6,28.0,2.8,,9.1,ENE,28,13:51,24.1,58,6,SSW,6,1020.5,26.5,59,2,ENE,11,1017.3
,2020-03-29,19.4,28.4,0.2,,8.1,NE,17,14:45,24.0,71,7,S,2,1019.6,27.3,54,1,NE,11,1016.2
,2020-03-30,19.2,29.8,1.6,,9.6,ESE,22,13:26,24.3,73,2,W,4,1017.4,28.3,53,7,NE,9,1014.0
,2020-03-31,20.1,30.6,0,,8.0,ENE,20,18:07,24.8,71,7, ,Calm,1016.3,29.2,60,5,NE,7,1012.8
,2020-04-1,20.2,29.6,0,,10.7,E,28,13:27,26.0,61,2,SSW,6,1018.0,28.4,44,1,ESE,11,1015.0
,2020-04-2,20.0,29.0,0,,9.3,E,20,12:11,25.6,65,2,S,4,1016.6,28.1,57,6,NE,7,1013.2
,2020-04-3,20.6,29.8,0,,10.2,NE,22,14:47,25.2,68,1,WSW,4,1012.9,28.8,56,3,NE,9,1009.5
,2020-04-4,22.6,30.4,0,,5.2,W,24,10:37,26.9,65,3,WNW,6,1010.8,28.7,56,7,WNW,7,1006.8
,2020-04-5,19.6,29.9,2.2,,10.5,ENE,22,16:00,24.1,57,1,SW,4,1015.4,27.4,41,1,ENE,9,1012.3
,2020-04-6,17.2,29.1,,,10.1,E,24,15:48,22.6,55,1,SSW,4,1017.5,26.3,48,1,ENE,11,1014.1
,2020-04-7,18.7,28.9,0,,10.8,SSE,28,20:12,23.9,55,4,SSW,6,1018.4,27.0,42,2,SSE,4,1014.6
,2020-04-8,20.0,26.9,0,,3.2,SE,28,16:43,23.9,62,7,SSW,4,1019.1,24.8,58,7,ESE,13,1017.2
,2020-04-9,20.1,26.7,0,,5.5,SE,31,13:01,23.6,61,6,S,6,1023.5,25.3,53,5,SE,11,1021.2
,2020-04-10,18.9,25.8,0,,5.7,NNE,19,15:59,22.9,74,7,WSW,4,1021.4,25.3,64,6,NE,6,1016.8
,2020-04-11,18.6,31.4,0,,10.3,W,37,14:20,25.1,66,2,NNE,4,1013.3,30.9,28,1,W,15,1007.2
,2020-04-12,15.3,,0,,,,,,23.9,36,1,WSW,4,1013.4,24.4,45,1,E,15,1013.8
