Daily Weather Observations for Darwin, Northern Territory for March 2020
Prepared at 13:03 UTC on Tuesday  7 April 2020   IDCJDW8014.202003
Copyright 2003 Commonwealth Bureau of Meteorology
Observations were drawn from Darwin Airport {station 014015}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-1,25.9,33.1,0.2,2.8,8.3,NNW,31,21:34,29.5,82,4,NW,17,1009.5,32.6,65,7,WNW,17,1005.7
,2020-03-2,25.8,32.5,12.0,5.4,6.3,WNW,54,13:00,30.1,80,2,N,13,1008.6,30.5,70,7,WNW,24,1006.5
,2020-03-3,26.1,31.4,2.6,5.2,0.6,WNW,63,16:31,28.8,81,7,WNW,20,1007.1,29.5,79,8,NW,31,1004.5
,2020-03-4,26.0,33.0,18.4,6.0,9.3,WSW,35,09:47,30.4,77,7,WNW,22,1006.4,31.9,63,7,NW,17,1003.9
,2020-03-5,26.5,32.8,0,5.6,7.7,WNW,30,17:43,29.0,74,3,SSW,11,1007.8,31.4,60,7,WSW,4,1005.4
,2020-03-6,26.5,33.4,0,6.4,11.0,WNW,33,15:01,29.4,77,4,SSW,9,1009.3,32.8,62,3,WNW,26,1006.6
,2020-03-7,24.4,32.7,52.8,12.0,2.2,SW,48,18:02,26.5,92,7,SSE,13,1010.5,31.9,65,7,WNW,15,1007.0
,2020-03-8,25.1,31.2,4.0,3.6,1.7,SSE,30,18:48,26.2,94,8,ENE,11,1009.8,27.7,92,8,WNW,20,1006.2
,2020-03-9,23.9,27.0,64.6,,0.0,ESE,43,09:15,24.3,98,8,ESE,17,1010.4,25.5,91,8,NW,15,1008.1
,2020-03-10,23.2,32.1,58.0,,10.0,NW,31,15:23,27.0,87,1, ,Calm,1009.8,31.3,65,2,WNW,20,1006.8
