Daily Weather Observations for Sydney, New South Wales for March 2020
Prepared at 13:00 UTC on Tuesday  7 April 2020   IDCJDW2124.202003
Copyright 2003 Commonwealth Bureau of Meteorology
Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport.
Sydney Airport is about 10 km to the south of Observatory Hill.
Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}
Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}
Wind observations are from Fort Denison {station 066022}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-1,19.0,28.0,0,5.4,10.5,NNE,48,18:15,22.9,71,1,WNW,4,1014.5,25.9,57,5,ENE,20,1010.6
,2020-03-2,20.6,37.6,0,9.6,9.1,S,80,15:35,26.2,40,3,W,17,1009.4,37.3,13,7,E,9,1007.6
,2020-03-3,20.6,22.2,0,10.0,0.0,SSE,31,00:18,21.4,64,8,SSE,15,1018.9,20.6,71,8,SSW,13,1019.5
,2020-03-4,18.7,24.8,19.6,1.4,0.0,ENE,46,07:41,20.3,91,8,E,28,1019.1,24.5,65,7,ENE,15,1016.3
,2020-03-5,20.0,22.9,5.2,3.2,0.0,NNE,54,15:10,22.7,83,7,NE,15,1012.1,21.3,89,7,N,19,1008.1
,2020-03-6,20.9,27.9,36.4,1.4,5.7,S,44,17:18,21.9,88,6,WNW,13,1007.5,24.5,68,8,SSE,20,1009.1
,2020-03-7,19.6,25.1,0.2,6.8,6.4,SSE,44,13:56,20.2,75,7,SSW,19,1019.2,24.5,60,2,SSE,28,1019.4
,2020-03-8,16.7,23.4,16.8,7.8,3.6,SSE,33,01:49,18.0,86,8,SW,15,1021.3,21.0,60,7,SSE,17,1019.3
,2020-03-9,16.9,22.4,6.6,2.8,,SSE,37,13:40,17.3,87,7,ESE,4,1021.8,20.8,64,7,SSE,24,1020.5
,2020-03-10,16.8,23.6,3.4,4.4,4.9,S,24,09:37,18.7,72,6,S,13,1022.1,22.7,50,6,SE,13,1020.5
,2020-03-11,15.6,25.2,0.2,3.6,10.6,ESE,28,10:44,19.2,67,2,WNW,13,1023.4,24.4,46,4,ESE,19,1022.9
,2020-03-12,17.3,25.3,0.6,5.4,10.8,E,28,09:31,20.1,74,1,WNW,11,1025.5,25.0,44,1,E,17,1023.5
,2020-03-13,15.4,25.1,0,7.4,11.2,NE,37,16:52,18.8,69,1,WNW,13,1021.0,25.0,51,1,E,24,1016.3
,2020-03-14,17.5,17.9,0,7.8,0.0,S,65,07:03,17.5,71,7,S,41,1016.5,13.4,84,8,WSW,22,1018.3
,2020-03-15,13.3,20.7,10.2,4.4,3.3,SSE,48,08:57,17.8,67,4,S,22,1021.8,17.6,82,7,SSW,15,1021.9
,2020-03-16,15.9,22.3,12.6,3.4,3.3,SE,48,12:28,17.6,90,7,WNW,7,1024.6,18.4,79,7,SSE,19,1025.4
,2020-03-17,15.1,23.7,9.4,4.4,4.3,W,28,04:08,17.9,84,7,W,11,1027.7,23.1,53,7,ESE,13,1026.1
,2020-03-18,15.0,25.4,0.2,2.6,10.7,NNE,35,17:29,18.1,79,1,W,9,1026.9,24.3,54,2,ENE,19,1022.8
,2020-03-19,16.4,32.5,0,7.0,10.6,WNW,22,07:46,20.0,68,5,WNW,19,1022.2,30.6,35,3,ENE,13,1019.5
,2020-03-20,19.7,35.0,0,6.6,10.0,S,48,20:46,24.3,50,7,WNW,4,1015.7,34.7,23,1,NW,20,1011.2
,2020-03-21,18.6,26.0,0,9.8,9.7,SSE,39,13:45,21.3,71,1,WNW,13,1019.9,23.6,60,6,SSE,22,1019.8
,2020-03-22,18.2,29.5,0,6.8,10.3,SSE,48,18:56,22.2,70,7,W,6,1018.8,27.1,50,7,E,15,1016.0
,2020-03-23,18.5,23.4,0.4,6.6,4.9,S,46,02:16,20.1,60,5,S,15,1025.3,22.1,56,6,SSE,22,1024.3
