Daily Weather Observations for Cairns, Queensland for March 2020
Prepared at 13:01 UTC on Tuesday  7 April 2020   IDCJDW4024.202003
Copyright 2003 Commonwealth Bureau of Meteorology
Observations were drawn from Cairns Aero {station 031011}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-1,24.9,33.5,0,,,SE,33,18:35,29.7,71,,SSE,15,1011.0,32.8,49,,E,19,1008.5
,2020-03-2,24.3,33.4,0,,,SE,31,11:10,29.4,66,,SSE,13,1011.6,32.1,58,,E,22,1008.3
,2020-03-3,22.6,32.9,0,,,ENE,26,14:01,28.9,65,,SE,9,1010.7,31.5,55,5,E,17,1007.0
,2020-03-4,23.4,32.2,0,,,N,24,13:17,29.5,68,,SE,7,1009.4,31.3,67,,NNE,9,1005.8
,2020-03-5,26.1,32.9,0,,,NNW,26,12:16,30.2,72,5,NNW,6,1009.0,31.7,68,,N,19,1005.8
,2020-03-6,26.6,34.2,0,,,ENE,28,11:38,30.0,77,8,SE,9,1009.6,28.2,91,8,SW,4,1007.2
,2020-03-7,25.8,33.5,4.4,,,E,28,16:30,29.5,77,2, ,Calm,1009.4,32.0,70,2,NE,19,1006.4
,2020-03-8,25.6,32.8,0.4,,,N,39,18:02,29.2,77,5,S,9,1008.7,31.2,66,3,ENE,13,1005.6
,2020-03-9,24.3,32.0,11.8,,,S,24,00:57,28.7,74,,SE,4,1008.5,31.0,67,,NE,9,1005.7
,2020-03-10,25.2,28.9,1.4,,,ESE,20,09:42,26.4,92,5,N,2,1008.6,25.0,96,8,SSE,11,1006.6
,2020-03-11,24.7,31.7,21.4,,,SSE,31,23:23,28.9,78,8,SSE,7,1008.3,28.1,81,8,S,11,1005.3
,2020-03-12,24.5,29.5,10.6,,,SSE,50,11:45,26.6,90,8,SSE,17,1007.0,26.1,88,8,SSE,33,1004.6
,2020-03-13,25.2,33.2,8.6,,,SE,35,14:47,29.4,65,8,SSE,6,1006.5,32.0,57,8,ESE,17,1003.3
,2020-03-14,23.7,32.2,0,,,E,31,14:13,28.6,68,,SE,9,1006.9,30.8,49,,ESE,19,1003.7
,2020-03-15,20.2,31.8,0,,,NE,26,13:12,27.0,64,,WSW,6,1009.6,30.2,53,,NE,11,1007.2
,2020-03-16,20.6,32.4,0,,,ESE,35,16:22,27.9,57,1,SSE,6,1013.4,31.5,43,,ESE,22,1010.8
,2020-03-17,22.9,29.7,0,,,SSE,46,13:28,27.5,68,6,S,17,1015.7,24.9,83,8,S,17,1014.3
,2020-03-18,23.1,29.3,3.0,,,SE,46,12:36,26.1,75,8,SSE,22,1017.1,27.7,67,8,SSE,17,1014.4
,2020-03-19,22.5,30.5,3.0,,,SSE,48,10:48,25.3,77,8,S,19,1017.3,27.8,63,8,SSE,17,1014.5
,2020-03-20,22.3,30.1,5.8,,,SE,44,12:08,26.1,69,7,SSE,20,1015.5,27.3,69,7,S,15,1013.2
,2020-03-21,22.6,31.4,4.2,,,SE,43,15:55,27.2,71,,SSE,19,1015.1,29.9,57,6,ESE,28,1012.4
,2020-03-22,23.1,29.6,9.2,,,SE,39,14:21,25.4,88,8,S,20,1014.7,29.2,74,8,SE,22,1011.9
,2020-03-23,24.7,31.2,2.2,,,SE,41,11:57,27.1,77,7,SSE,20,1013.6,30.7,63,,SE,26,1010.2
,2020-03-24,23.6,31.3,1.6,,,SSE,50,16:22,26.9,80,8,SSE,15,1013.4,28.1,70,6,SE,30,1010.5
,2020-03-25,23.4,30.9,5.4,,,SE,44,11:44,27.3,74,1,SSE,19,1013.3,29.1,65,8,SE,26,1010.6
,2020-03-26,23.5,28.0,10.0,,,SE,43,12:47,25.8,85,8,SSE,15,1013.4,25.4,91,6,S,15,1011.4
,2020-03-27,23.0,28.2,6.4,,,SSE,37,12:25,24.8,87,8,S,13,1013.5,26.2,85,8,SSE,17,1011.1
,2020-03-28,23.1,31.3,0.6,,,SE,46,13:59,26.9,84,5,SSE,13,1012.1,29.0,68,7,SSE,15,1009.6
,2020-03-29,23.8,30.9,9.0,,,ESE,43,14:09,26.8,84,5,S,15,1011.6,27.8,85,8,SSE,13,1009.4
,2020-03-30,23.8,30.7,14.4,,,SE,46,12:15,26.1,88,5,SSE,15,1012.0,29.2,68,5,SE,26,1009.6
,2020-03-31,23.5,30.7,1.0,,,SSE,46,10:51,27.1,75,8,S,13,1013.0,29.4,62,,ESE,19,1010.2
,2020-04-1,22.9,30.6,0.4,,,ESE,33,12:30,27.0,72,,SSE,17,1012.6,29.5,60,,ESE,19,1010.2
,2020-04-2,22.7,31.0,3.6,,,SE,37,16:17,26.9,74,,SSE,15,1012.7,29.4,58,1,ESE,20,1009.3
,2020-04-3,20.8,30.4,0.2,,,ENE,24,15:06,26.5,68,,SE,11,1012.0,29.4,64,,NE,15,1008.3
,2020-04-4,21.4,30.4,0,,,NE,20,11:36,27.1,74,,N,2,1011.5,28.3,66,,NE,11,1007.7
,2020-04-5,23.5,31.0,0,,,NE,24,12:47,28.7,71,4,SSE,7,1011.9,29.6,75,4,N,15,1008.6
,2020-04-6,24.2,31.6,0,,,SE,35,15:07,27.8,73,3,SSE,11,1013.6,30.6,55,4,SE,24,1010.1
,2020-04-7,23.0,28.6,3.0,,,SSE,37,17:35,25.1,86,8,SE,9,1013.4,28.5,66,8,SSE,15,1010.9
,2020-04-8,23.5,30.4,2.6,,,ESE,37,13:13,26.9,68,1,SSE,13,1013.9,29.5,53,,ESE,22,1010.9
,2020-04-9,20.8,31.3,0,,,SSE,43,10:55,26.2,67,8,S,17,1016.0,28.7,58,7,SE,24,1013.2
,2020-04-10,22.0,30.9,0,,,SE,26,10:28,27.0,71,8,S,13,1016.6,30.6,56,5,E,17,1013.3
,2020-04-11,21.6,31.0,0,,,NE,24,13:03,26.9,71,4,SSE,11,1015.0,29.6,71,,NE,17,1011.3
,2020-04-12,22.8,,0,,,,,,27.5,72,,SE,7,1012.8,29.4,69,,NNE,9,1009.5
